1.29	1	1.58	1.8398	0.140581	-0.140581	0.163048	-0.174333
2.045	1.58	2.51	1.47246	0.0780541	-0.0780541	0.075151	-0.0914248
3.245	2.51	3.98	1.29767	0.0425591	-0.0425591	0.0367894	-0.0653711
5.145	3.98	6.31	0.922485	0.027339	-0.027339	0.0230529	-0.041043
8.155	6.31	10	0.805012	0.0249069	-0.0249069	0.0279685	-0.0181859
12.925	10	15.85	0.801405	0.0262202	-0.0262202	0.012967	-0.02471
20.485	15.85	25.12	0.853584	0.0304914	-0.0304914	0.0141573	-0.0125002
32.465	25.12	39.81	0.815385	0.0353279	-0.0353279	0.0105215	-0.0377495
51.45	39.81	63.09	0.91041	0.0479047	-0.0479047	0.0136063	-0.0418002
81.545	63.09	100	0.990795	0.0724553	-0.0724553	0.0497328	-0.0188277
129.245	100	158.49	1.03099	0.114905	-0.114905	0.0458873	-0.0515748
204.835	158.49	251.18	1.12435	0.275505	-0.275505	0.12478	-0.157294
