# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 18.11970850472189 64.89851646791901 0 0
0.07500000000000001 0.05000000000000001 0.1 -1.352958009189118 18.89942195740581 0 0
0.125 0.1 0.15 -15.54490247532768 41.46335682614135 0 0
0.175 0.15 0.2 0.04167433344381376 7.039160510068166 0 0
0.225 0.2 0.25 -4.291294681038178 12.06261212363862 0 0
0.275 0.25 0.3 0.1498704042213661 3.635907410980168 0 0
0.325 0.2999999999999999 0.35 -2.597655629844071 7.279527820169422 0 0
0.375 0.35 0.4 0.7394879167503356 2.928068822847588 0 0
0.425 0.4 0.4500000000000001 4.47689028350168 11.90239749620894 0 0
0.475 0.45 0.5 0.3031687921172019 3.072264490036436 0 0
0.55 0.5 0.6000000000000001 2.482851080361223 6.701667179872222 0 0
0.6499999999999999 0.5999999999999999 0.7 2.671604473187839 7.134615979064781 0 0
0.75 0.7 0.8 3.371501798936791 8.85510006332458 0 0
0.9 0.8 1 0.7260239639177621 2.164034246735591 0 0
