# x_center x_low x_high value error n_jet n_event
0.025 0 0.05 94.71014645364828 0.08932252759488217 0 0
0.07500000000000001 0.05000000000000001 0.1 94.87862922417897 0.08940194157802916 0 0
0.125 0.1 0.15 71.25338545067036 0.07747569873973158 0 0
0.175 0.15 0.2 55.13826117356672 0.06815367563369809 0 0
0.225 0.2 0.25 44.69148698681202 0.06135855908784797 0 0
0.275 0.25 0.3 37.92900978463691 0.05652603228602219 0 0
0.325 0.2999999999999999 0.35 33.37786894567695 0.05302638887562284 0 0
0.375 0.35 0.4 28.51452953292362 0.04901125858456312 0 0
0.425 0.4 0.4500000000000001 28.45075880427779 0.04895642280153248 0 0
0.475 0.45 0.5 27.98852632332687 0.04855710276584127 0 0
0.55 0.5 0.6000000000000001 26.83092332770321 0.03361751142688753 0 0
0.6499999999999999 0.5999999999999999 0.7 25.62513425970777 0.03285343823443818 0 0
0.75 0.7 0.8 24.91994962365159 0.03239823357097481 0 0
0.9 0.8 1 24.32154094341928 0.02263227949666861 0 0
